Date,Open,High,Low,Close
04/04/2023,"1.0902","1.0976","1.0884","1.0957"
04/03/2023,"1.0873","1.0917","1.0789","1.0905"
03/31/2023,"1.0908","1.0928","1.0837","1.0843"
03/30/2023,"1.0846","1.0927","1.0825","1.0905"
03/29/2023,"1.0845","1.0874","1.0820","1.0844"
03/28/2023,"1.0798","1.0851","1.0795","1.0847"
03/27/2023,"1.0778","1.0804","1.0745","1.0799"
03/24/2023,"1.0834","1.0842","1.0715","1.0762"
03/23/2023,"1.0856","1.0931","1.0827","1.0833"
03/22/2023,"1.0769","1.0914","1.0759","1.0857"
03/21/2023,"1.0724","1.0791","1.0704","1.0771"
03/20/2023,"1.0690","1.0733","1.0632","1.0723"
03/17/2023,"1.0611","1.0687","1.0609","1.0669"
03/16/2023,"1.0577","1.0638","1.0552","1.0612"
03/15/2023,"1.0734","1.0762","1.0519","1.0578"
03/14/2023,"1.0733","1.0751","1.0679","1.0733"
03/13/2023,"1.0642","1.0752","1.0642","1.0734"
03/10/2023,"1.0582","1.0703","1.0575","1.0642"
03/09/2023,"1.0546","1.0593","1.0539","1.0585"
03/08/2023,"1.0551","1.0577","1.0525","1.0544"
03/07/2023,"1.0680","1.0697","1.0546","1.0549"
03/06/2023,"1.0620","1.0697","1.0615","1.0686"
03/03/2023,"1.0598","1.0640","1.0590","1.0635"
03/02/2023,"1.0668","1.0676","1.0577","1.0597"
03/01/2023,"1.0576","1.0694","1.0566","1.0671"
02/28/2023,"1.0613","1.0646","1.0574","1.0578"
02/27/2023,"1.0586","1.0621","1.0533","1.0611"
02/24/2023,"1.0597","1.0616","1.0536","1.0547"
02/23/2023,"1.0605","1.0630","1.0578","1.0596"
02/22/2023,"1.0649","1.0666","1.0600","1.0607"
02/21/2023,"1.0686","1.0699","1.0638","1.0647"
02/20/2023,"1.0722","1.0722","1.0671","1.0687"
02/17/2023,"1.0673","1.0700","1.0614","1.0696"
02/16/2023,"1.0690","1.0724","1.0655","1.0672"
02/15/2023,"1.0739","1.0746","1.0662","1.0688"
02/14/2023,"1.0725","1.0807","1.0708","1.0737"
02/13/2023,"1.0703","1.0732","1.0656","1.0727"
02/10/2023,"1.0739","1.0755","1.0667","1.0679"
02/09/2023,"1.0715","1.0793","1.0710","1.0743"
02/08/2023,"1.0726","1.0763","1.0710","1.0713"
02/07/2023,"1.0727","1.0768","1.0670","1.0730"
02/06/2023,"1.0829","1.0829","1.0710","1.0726"
02/03/2023,"1.0910","1.0942","1.0793","1.0799"
02/02/2023,"1.0990","1.1036","1.0889","1.0911"
02/01/2023,"1.0865","1.1002","1.0853","1.0991"
01/31/2023,"1.0848","1.0877","1.0803","1.0866"
01/30/2023,"1.0874","1.0916","1.0840","1.0852"
01/27/2023,"1.0893","1.0902","1.0839","1.0869"
01/26/2023,"1.0917","1.0931","1.0852","1.0892"
01/25/2023,"1.0889","1.0925","1.0858","1.0915"
01/24/2023,"1.0872","1.0899","1.0837","1.0888"
01/23/2023,"1.0878","1.0928","1.0847","1.0874"
01/20/2023,"1.0831","1.0861","1.0803","1.0857"
01/19/2023,"1.0795","1.0842","1.0783","1.0833"
01/18/2023,"1.0790","1.0888","1.0768","1.0797"
01/17/2023,"1.0823","1.0871","1.0775","1.0789"
01/16/2023,"1.0849","1.0877","1.0802","1.0821"
01/13/2023,"1.0853","1.0870","1.0782","1.0833"
01/12/2023,"1.0758","1.0867","1.0733","1.0854"
01/11/2023,"1.0734","1.0778","1.0726","1.0757"
01/10/2023,"1.0730","1.0760","1.0712","1.0735"
01/09/2023,"1.0646","1.0763","1.0637","1.0735"
01/06/2023,"1.0521","1.0650","1.0484","1.0644"
01/05/2023,"1.0604","1.0634","1.0516","1.0523"
01/04/2023,"1.0548","1.0636","1.0541","1.0606"
01/03/2023,"1.0653","1.0685","1.0520","1.0550"
01/02/2023,"1.0727","1.0729","1.0651","1.0668"
